Country,City,Year,Month,Number_of_Tourists,Purpose_of_Visit,Average_Length_of_Stay,Tourist_Spending_USD,Hotel_Occupancy_Rate,Number_of_Hotels,Hotel_Rating,Average_Room_Price_USD,Tourism_Revenue_USD,Employment_in_Tourism,Contribution_to_GDP_Percent,Number_of_Flights,Airport_Passenger_Traffic,Transport_Infrastructure_Quality,Eco_Tourism_Revenue_USD,Carbon_Footprint_kg,Waste_Management_Rating,Tourist_Satisfaction_Score,Number_of_Online_Reviews
Italy,Venice,2022,2,171958,Cultural,12.4,1325.46,79.0,70,1-star,120.21,227923.45,21850,2.9,3944,225203,2.3,48484.36,21075968.92,7.5,9.7,2533
India,Mumbai,2020,3,55311,Religious,14.9,3278.67,70.6,302,Unrated,244.38,181346.52,46434,12.6,2547,704811,9.8,19620.39,7535713.0,6.6,6.9,1367
Japan,Tokyo,2022,4,81551,Leisure,8.1,4369.73,74.0,378,1-star,79.27,356355.85,15627,18.9,2561,255041,4.5,19240.21,15686948.95,3.2,8.4,875
United Kingdom,Manchester,2021,1,160510,Educational,4.3,2259.77,49.1,437,2-star,190.27,362715.68,16653,5.0,4343,221829,1.3,94513.26,44927014.38,4.6,9.6,7729
Egypt,Luxor,2022,12,141387,Cultural,2.6,1963.99,59.4,387,5-star,292.86,277682.65,26271,7.8,879,566588,2.3,69573.18,18354896.74,9.9,8.9,2127
Italy,Rome,2023,7,183767,Religious,2.1,4169.58,75.3,212,3-star,405.58,766231.21,17666,2.4,2778,900937,2.0,203645.76,64193350.75,4.0,5.3,2554
Japan,Osaka,2020,7,127373,Religious,6.2,3783.23,71.9,84,1-star,262.5,481881.35,13110,14.6,4340,264020,6.1,116972.74,37895790.6,5.7,7.1,7821
Brazil,Sao Paulo,2020,8,73419,Religious,3.4,641.43,71.8,101,1-star,303.47,47093.15,27403,18.2,2178,823290,2.8,13455.14,24929141.47,7.3,9.4,9889
United Arab Emirates,Dubai,2020,2,159556,Educational,13.3,4116.52,49.3,335,3-star,447.48,656815.47,23047,16.3,3802,437261,2.0,70268.61,43214644.13,8.4,9.3,7626
France,Paris,2024,8,71959,Leisure,8.9,2681.73,74.6,283,1-star,201.93,192974.61,39766,4.2,4243,643128,4.6,12779.37,14504499.71,3.2,8.5,7654
India,Delhi,2021,2,117172,Family Visit,5.7,665.99,70.5,179,1-star,234.97,78035.38,5854,6.3,3974,227789,2.3,13450.43,57913454.0,3.2,8.4,302
Turkey,Istanbul,2022,5,159751,Educational,5.1,3776.97,58.4,421,3-star,492.54,603374.73,28509,11.2,1108,405528,3.9,58303.88,18580647.86,6.3,8.4,6646
Greece,Athens,2022,2,174249,Educational,8.7,1519.23,72.3,357,Unrated,473.24,264724.31,23343,8.3,2885,323255,2.2,35808.35,25333959.04,9.3,9.4,362
Turkey,Antalya,2023,12,96843,Cultural,4.3,4919.76,65.8,418,4-star,158.83,476444.32,43191,19.3,3608,341999,6.7,64204.42,23211701.13,7.5,9.5,6395
Germany,Frankfurt,2021,4,170885,Educational,12.1,3389.14,44.2,469,4-star,454.35,579153.19,7557,18.9,2700,817836,3.6,73170.77,50282142.51,5.0,10.0,8452
United States,San Francisco,2023,10,88467,Medical,5.1,1964.3,77.3,433,2-star,384.88,173775.73,38986,13.5,3604,306687,1.8,24663.81,18231363.14,3.2,9.9,3536
Germany,Berlin,2021,9,126213,Business,13.8,2454.77,57.5,146,4-star,309.61,309823.89,46919,17.4,3567,221836,5.5,59796.34,51421903.12,1.4,10.0,2305
Spain,Seville,2021,11,93484,Religious,5.6,4475.72,77.4,86,3-star,467.74,418408.21,36216,11.5,1106,509451,8.7,51720.37,23748590.42,8.7,6.6,8419
United States,Miami,2020,9,76641,Cultural,9.2,4712.7,74.8,409,3-star,81.69,361186.04,12455,13.8,2186,872209,3.3,44723.01,17552345.25,8.6,5.7,7443
Egypt,Luxor,2023,5,155510,Religious,5.8,4142.13,80.5,458,5-star,325.18,644142.64,28355,10.7,4631,906748,2.7,43631.15,40232541.19,1.5,9.4,9458
China,Guangzhou,2024,7,194475,Religious,9.5,2473.13,73.6,100,4-star,259.52,480961.96,27677,12.2,2215,120313,8.4,67357.6,29331537.28,5.7,8.8,3151
Japan,Kyoto,2023,1,164692,Family Visit,7.9,4289.1,49.7,399,3-star,293.29,706380.46,44734,3.6,4864,283841,5.6,92351.56,68853521.92,3.4,7.2,9661
Greece,Athens,2023,4,140852,Leisure,4.4,863.93,61.4,445,3-star,234.03,121686.27,6081,18.4,3349,227247,5.9,27823.44,51281248.36,3.5,9.8,4170
Brazil,Sao Paulo,2022,6,79375,Medical,9.2,3252.74,61.0,125,4-star,304.72,258186.24,8506,15.4,3244,405612,2.0,15878.62,9230639.47,8.7,8.5,6717
United States,San Francisco,2020,12,171172,Family Visit,8.2,1279.41,61.7,72,5-star,71.63,218999.17,19069,13.1,3349,700419,4.4,45215.66,51566335.86,8.7,8.3,4711
Thailand,Bangkok,2023,9,77663,Cultural,2.9,3390.89,41.3,433,Unrated,336.38,263346.69,5851,11.9,4246,403824,5.1,49088.93,37013092.58,4.5,9.8,4013
Germany,Munich,2022,6,132986,Educational,4.5,812.13,45.0,435,1-star,67.53,108001.92,39850,7.4,4685,599639,4.5,23803.99,31417919.6,3.3,7.5,925
Mexico,Cancun,2023,9,139588,Family Visit,6.5,4714.92,42.0,266,3-star,411.57,658146.25,32384,11.4,3004,741095,8.3,195881.62,36997390.51,4.3,8.9,9979
Brazil,Sao Paulo,2021,8,188429,Educational,9.3,1573.69,74.0,328,3-star,389.54,296528.83,26352,8.2,4452,588685,5.5,43709.69,41276139.32,1.9,5.3,7500
Canada,Toronto,2023,9,109163,Educational,14.4,4777.73,68.7,416,4-star,87.48,521551.34,42259,7.2,3438,399652,7.8,129289.84,45395134.13,1.8,7.5,6641
Australia,Melbourne,2020,9,176174,Business,2.7,3816.66,67.3,380,3-star,102.68,672396.26,11731,14.1,1453,281915,8.8,174567.65,47643895.81,3.0,7.0,7038
Italy,Rome,2023,1,69065,Business,3.9,2809.97,51.7,185,2-star,218.42,194070.58,31432,17.7,2180,742440,6.3,26695.29,26470713.71,5.3,6.9,4286
Mexico,Cancun,2023,3,75289,Educational,13.8,1000.39,64.6,190,4-star,232.34,75318.36,8709,2.1,955,456332,8.4,17779.12,28038810.97,3.1,7.0,1631
France,Marseille,2024,6,78016,Cultural,3.1,2877.67,61.8,107,5-star,55.47,224504.3,27700,1.8,4675,536261,9.3,62811.57,15696512.38,7.3,5.4,6290
India,Delhi,2020,2,67640,Educational,4.8,1825.22,89.8,103,Unrated,312.94,123457.88,24087,15.0,1853,978479,1.5,18349.6,9652392.12,4.0,5.8,6919
United States,Los Angeles,2024,9,111529,Cultural,7.0,1532.28,53.3,406,1-star,488.48,170893.66,25159,9.6,3008,740907,3.4,14234.81,14552320.85,9.5,7.1,4904
France,Nice,2022,12,100990,Business,13.9,872.37,83.8,300,4-star,70.35,88100.65,6015,8.2,3636,674785,9.9,7717.99,34099504.38,4.4,9.8,7038
Canada,Montreal,2024,4,96540,Religious,2.8,665.7,46.7,454,4-star,75.37,64266.68,34189,14.1,3256,934574,7.7,17884.87,32250134.34,7.5,8.8,4278
Germany,Frankfurt,2023,7,194528,Religious,5.1,1422.7,52.6,222,4-star,322.78,276754.99,26949,17.7,2323,142193,4.2,21694.66,71708716.24,5.7,8.9,4463
South Africa,Johannesburg,2023,12,165765,Medical,14.6,897.84,79.6,450,1-star,110.31,148830.45,24758,9.0,1752,876196,6.8,37395.31,76460834.1,6.6,9.9,9621
Thailand,Chiang Mai,2024,11,105393,Business,10.3,2996.67,44.6,357,5-star,296.35,315828.04,36703,18.3,3677,303490,7.3,78678.43,29904075.25,8.6,8.8,6071
Greece,Santorini,2024,7,175911,Leisure,2.6,3293.63,57.4,175,5-star,335.03,579385.75,17015,7.5,1260,729574,2.2,50971.85,27359590.71,6.8,5.9,8572
Germany,Munich,2020,7,151570,Educational,8.7,4879.0,70.1,100,3-star,68.39,739510.03,26508,7.6,4400,335205,1.8,59278.36,43093095.15,2.9,6.8,7340
Singapore,Singapore City,2022,5,73321,Cultural,12.4,3325.55,44.1,399,2-star,120.64,243832.65,9432,6.3,2555,964032,6.4,72312.05,23069445.1,9.3,6.2,8250
Germany,Frankfurt,2022,3,117661,Family Visit,8.0,3863.62,41.8,361,Unrated,109.9,454597.39,10122,18.0,3297,498874,5.8,34909.9,32823294.6,5.8,6.2,8252
Turkey,Istanbul,2021,4,161076,Business,4.4,3037.84,82.0,135,3-star,197.37,489323.12,9632,17.9,3783,449384,7.1,121006.09,48222430.25,1.8,7.7,8043
Italy,Venice,2022,2,131264,Educational,9.3,2204.48,56.9,229,5-star,340.66,289368.86,39529,5.6,2862,853692,4.0,82013.78,13521996.26,3.0,6.8,6867
Singapore,Sentosa Island,2023,6,126125,Educational,4.3,4535.44,44.0,292,2-star,58.21,572032.37,9324,19.7,505,696465,6.2,159796.62,12879885.32,9.8,7.5,5660
Thailand,Phuket,2023,3,103441,Educational,9.2,3072.26,54.0,349,3-star,142.28,317797.65,35105,7.1,2310,239139,5.6,35149.19,15095634.4,6.5,6.4,1928
